date,open,high,low,adjClose,value,volume,count,yesterday,close
2009-10-10,513.0,513.0,513.0,513.0,1500000,75000,8,25641.0,513.0
2009-10-19,538.0,538.0,538.0,538.0,210,10,1,513.0,538.0
2010-04-06,1282.0,1282.0,1282.0,1282.0,5000000,100000,10,538.0,1282.0
2010-04-07,1205.0,1205.0,1205.0,1205.0,7520000,160000,3,1282.0,1205.0
2010-04-10,1128.0,1128.0,1128.0,1128.0,58374932,1326703,21,1205.0,1128.0
2010-04-11,1051.0,1051.0,1051.0,1051.0,102500000,2500000,32,1128.0,1051.0
2010-04-12,1000.0,1000.0,1000.0,1000.0,97500000,2500000,32,1051.0,1000.0
2024-02-17,2500.0,2500.0,2500.0,2500.0,528887500,211555,5,1000.0,2500.0
2024-02-18,2500.0,2500.0,2500.0,2500.0,5000000,2000,1,2500.0,2500.0
2024-02-19,2500.0,2500.0,2500.0,2500.0,150817500,60327,1,2500.0,2500.0
2024-02-21,2500.0,2500.0,2500.0,2500.0,299500000000,119800000,599,2500.0,2500.0
2024-02-24,2500.0,2500.0,2500.0,2500.0,119000000000,47600000,238,2500.0,2500.0
2024-02-26,2500.0,2500.0,2500.0,2500.0,158625000000,63450000,318,2500.0,2500.0
2024-02-27,2500.0,2500.0,2500.0,2500.0,1151500000000,460600000,2303,2500.0,2500.0
2024-02-28,2500.0,2500.0,2500.0,2500.0,97958545000,39183418,199,2500.0,2500.0
