date,open,high,low,adjClose,value,volume,count,yesterday,close
2023-03-14,15500.0,15500.0,15500.0,15500.0,20072500000000,1295000000,1533498,973.0,15500.0
2023-03-15,16270.0,16270.0,16270.0,16270.0,105028088940,6455322,3857,15500.0,16270.0
2023-03-18,17080.0,17080.0,17080.0,17080.0,322320249720,18871209,4755,16270.0,17080.0
2023-03-19,17930.0,17930.0,17930.0,17930.0,367021613420,20469694,22005,17080.0,17930.0
2023-03-25,18820.0,18820.0,18820.0,18820.0,581808198740,30914357,21321,17930.0,18820.0
2023-03-26,19760.0,19760.0,19760.0,19760.0,1033700414240,52312774,41288,18820.0,19760.0
2023-03-28,21770.0,21770.0,21770.0,21770.0,1333524093020,61255126,39103,20740.0,21770.0
2023-03-29,22850.0,22850.0,22850.0,22850.0,5527640255300,241909858,152705,21770.0,22850.0
2023-04-03,23070.0,23390.0,21710.0,22710.0,9478518690180,417317116,403257,22850.0,22990.0
2023-04-04,22950.0,23840.0,22940.0,23620.0,1365194774710,57788412,33295,22710.0,23840.0
2023-04-09,24800.0,24800.0,24800.0,24800.0,1199625054400,48371978,14710,23620.0,24800.0
2023-04-10,26040.0,26040.0,25250.0,25940.0,6924702227160,266912420,105155,24800.0,26040.0
2023-04-11,26260.0,27230.0,25260.0,26830.0,4686248720750,174638081,89601,25940.0,27230.0
2023-04-15,27870.0,27870.0,26430.0,27120.0,4301778924840,158620475,80431,26830.0,26900.0
2023-04-16,26890.0,27010.0,26130.0,26570.0,3358809313140,126401076,71674,27120.0,26520.0
2023-04-17,26500.0,27230.0,25800.0,26680.0,1894854187160,71021720,37516,26570.0,26610.0
2023-04-18,27010.0,28010.0,27000.0,27790.0,1661924107590,59801934,15929,26680.0,28010.0
2023-04-19,28550.0,29170.0,28020.0,29040.0,2625873494100,90415082,28206,27790.0,29170.0
2023-04-24,29790.0,29790.0,28350.0,28980.0,1749470452490,60358114,26428,29040.0,29000.0
2023-04-25,29110.0,30060.0,28820.0,29370.0,1450814317800,49405265,20647,28980.0,29040.0
2023-04-26,29110.0,29580.0,28410.0,28950.0,1417147949390,48948647,21771,29370.0,28790.0
2023-04-29,28640.0,30390.0,28640.0,29940.0,2024797044110,67618589,20412,28950.0,30390.0
2023-04-30,30400.0,31430.0,30400.0,31350.0,1568641401210,50035691,15080,29940.0,31430.0
2023-05-01,32200.0,32200.0,30380.0,31080.0,1164912413420,37486027,21166,31350.0,31020.0
2023-05-02,31000.0,32630.0,30800.0,32060.0,1319233352570,41154596,15346,31080.0,32240.0
2023-05-03,32630.0,32700.0,31000.0,31460.0,1262094113170,40112935,22183,32060.0,31150.0
2023-05-06,31460.0,31490.0,30060.0,30390.0,2135382432760,70268121,34667,31460.0,30240.0
2023-05-07,30100.0,30220.0,28880.0,28990.0,898936403870,31006804,9123,30390.0,28880.0
2023-05-08,27550.0,27550.0,27550.0,27550.0,455039713400,16516868,3405,28990.0,27550.0
2023-05-09,26250.0,27790.0,26250.0,26960.0,1748923230550,64862707,28367,27550.0,27740.0
2023-05-10,27280.0,28080.0,25620.0,26030.0,1626718621750,62494291,18079,26960.0,26290.0
2023-05-13,26000.0,26000.0,24730.0,25060.0,1244487887670,49658844,18555,26030.0,25790.0
2023-05-14,25910.0,26310.0,25910.0,26300.0,345357919370,13133786,3520,25060.0,26310.0
2023-05-15,27610.0,27610.0,27000.0,27560.0,1259235370810,45697383,8501,26300.0,27610.0
2023-05-17,28300.0,28870.0,27570.0,28330.0,842114802440,29722602,10187,27560.0,28830.0
2023-05-20,28790.0,29180.0,27410.0,27840.0,501591569610,18018569,13789,28330.0,27690.0
2023-05-21,27690.0,28400.0,27100.0,27780.0,439630105950,15824658,8720,27840.0,28110.0
2023-05-22,28010.0,28700.0,27850.0,28180.0,497920141040,17671706,8619,27780.0,28490.0
2023-05-23,29580.0,29580.0,29580.0,29580.0,622906850820,21058379,3274,28180.0,29580.0
2023-05-24,30000.0,30440.0,28820.0,29580.0,692856346160,23424425,9104,29580.0,28870.0
2023-05-27,28770.0,28870.0,28110.0,28300.0,788822493110,27876535,14782,29580.0,28110.0
2023-05-28,27300.0,28100.0,26890.0,26930.0,1303017912110,48382441,8919,28300.0,27090.0
2023-05-29,27500.0,28100.0,27020.0,27450.0,245084233180,8928080,4803,26930.0,27360.0
2023-05-30,27440.0,27790.0,27000.0,27680.0,277627184400,10028955,4853,27450.0,27250.0
2023-05-31,27500.0,27500.0,26340.0,26690.0,275483726540,10320530,5166,27680.0,26700.0
2023-06-03,26220.0,26670.0,25900.0,26190.0,269562304910,10291015,7737,26690.0,26260.0
2023-06-06,26230.0,26580.0,25860.0,26070.0,271121257540,10400365,7525,26190.0,26070.0
2023-06-07,26060.0,26690.0,25810.0,26090.0,307728795450,11795553,7223,26070.0,26050.0
2023-06-10,25700.0,25900.0,24810.0,25240.0,427333199910,16930350,10219,26090.0,25590.0
2023-06-11,25230.0,26000.0,25010.0,25280.0,368330804380,14571776,17265,25240.0,25400.0
2023-06-12,25080.0,25260.0,24410.0,24820.0,437541256470,17628438,6020,25280.0,24740.0
2023-06-13,24740.0,26050.0,24740.0,25440.0,219926794350,8645663,4081,24820.0,26040.0
2023-06-14,26380.0,26550.0,25910.0,26180.0,216018675640,8251471,3022,25440.0,25910.0
2023-06-17,26000.0,26180.0,25260.0,25540.0,245290759750,9605814,4440,26180.0,25520.0
2023-06-18,25000.0,25690.0,24980.0,25250.0,190822219450,7556807,3628,25540.0,25350.0
2023-06-19,25350.0,25740.0,25050.0,25360.0,258449160280,10192789,3250,25250.0,25330.0
2023-06-20,25110.0,25410.0,25010.0,25270.0,119284875650,4720540,2990,25360.0,25330.0
2023-06-21,25210.0,25500.0,24920.0,25160.0,295430524490,11742014,5137,25270.0,25030.0
2023-06-24,24910.0,25150.0,24490.0,24870.0,204233275730,8211546,4780,25160.0,24960.0
2023-06-25,24600.0,25240.0,24600.0,25100.0,186288884950,7422115,3758,24870.0,25100.0
2023-06-26,25000.0,26270.0,24830.0,25770.0,172769994340,6703041,4621,25100.0,25800.0
2023-06-27,25800.0,26080.0,25550.0,25770.0,144520558910,5608795,3066,25770.0,25600.0
2023-06-28,25600.0,26270.0,25020.0,25950.0,211520355550,8151009,3182,25770.0,26160.0
2023-07-01,25880.0,26430.0,25880.0,26070.0,161432235700,6192930,2627,25950.0,25980.0
2023-07-02,25920.0,26390.0,25900.0,26160.0,105581227250,4036668,2450,26070.0,26270.0
2023-07-03,26380.0,27130.0,26200.0,26730.0,166360423250,6223263,3989,26160.0,26910.0
2023-07-04,26800.0,27650.0,26800.0,27240.0,193810048600,7115234,3356,26730.0,26980.0
2023-07-05,26800.0,27280.0,26570.0,27050.0,204589900930,7562319,2731,27240.0,27120.0
2023-07-08,27050.0,28000.0,26920.0,27690.0,267582223170,9662198,3701,27050.0,27760.0
2023-07-09,27710.0,27920.0,27260.0,27630.0,214693355520,7771114,2846,27690.0,27520.0
2023-07-10,27000.0,27220.0,26800.0,27000.0,338652298960,12542890,2601,27630.0,27100.0
2023-07-11,26960.0,26960.0,26300.0,26490.0,373646706670,14106939,2788,27000.0,26420.0
2023-07-12,26200.0,26550.0,26020.0,26170.0,333783428500,12755128,3094,26490.0,26420.0
2023-07-15,26170.0,26590.0,26010.0,26400.0,186184863790,7051794,2271,26170.0,26400.0
2023-07-16,25800.0,26250.0,25210.0,25650.0,177529625030,6921997,2545,26400.0,25760.0
2023-07-17,25300.0,25320.0,24380.0,24830.0,219836446810,8854646,3310,25650.0,25300.0
2023-07-18,24880.0,26070.0,24880.0,25660.0,94449766310,3676317,1949,24830.0,26070.0
2023-07-19,26070.0,26890.0,25670.0,26280.0,127231664740,4841156,2610,25660.0,25860.0
2023-07-22,25850.0,26250.0,25250.0,25910.0,208450882980,8045987,1982,26280.0,26000.0
2023-07-23,25600.0,26250.0,25600.0,26000.0,80641965700,3099401,1443,25910.0,26200.0
2023-07-24,26470.0,26550.0,26010.0,26250.0,154634734330,5891227,1759,26000.0,26410.0
2023-07-25,26400.0,26990.0,26100.0,26510.0,118216989500,4458975,2093,26250.0,26510.0
2023-07-26,26510.0,26970.0,26510.0,26690.0,66073971630,2466694,1485,26510.0,26870.0
2023-07-29,26800.0,27030.0,26550.0,26800.0,124320358720,4637968,1668,26690.0,26790.0
2023-07-30,26750.0,27090.0,26500.0,26820.0,317462874120,11838305,2243,26800.0,26860.0
2023-07-31,26270.0,27430.0,26270.0,27010.0,169180325500,6263111,1631,26820.0,27200.0
2023-08-01,27000.0,27840.0,26820.0,27500.0,160831381960,5849397,2005,27010.0,27780.0
2023-08-05,27900.0,28870.0,27550.0,28630.0,442951087960,15471187,3633,27500.0,28500.0
2023-08-06,28650.0,28830.0,28000.0,28400.0,128601461230,4528240,2085,28630.0,28430.0
2023-08-07,28400.0,28840.0,28180.0,28440.0,115099347360,4047324,2306,28400.0,28450.0
2023-08-08,28800.0,28800.0,27700.0,28040.0,227529415590,8115356,1954,28440.0,28300.0
2023-08-09,28000.0,28300.0,27930.0,28040.0,239570808390,8544649,3106,28040.0,27960.0
2023-08-21,13620.0,13750.0,13400.0,13520.0,84429231820,6244270,1111,13520.0,13470.0
2023-08-22,13520.0,13560.0,13200.0,13470.0,242485727830,18002930,2145,13520.0,13510.0
2023-08-23,13600.0,14010.0,13480.0,13640.0,118271677500,8670748,1718,13470.0,13840.0
2023-08-26,14130.0,14320.0,13690.0,14220.0,150150605940,10562756,2088,13640.0,14320.0
2023-08-27,14500.0,14930.0,14500.0,14850.0,241863160480,16283311,2616,14220.0,14800.0
2023-08-28,14990.0,15100.0,14700.0,14900.0,149894683440,10057684,2174,14850.0,14910.0
2023-08-29,14600.0,15040.0,14590.0,14860.0,136214567670,9167878,1896,14900.0,14760.0
